
False negative test rate,Tracing efficiency,N_infected_done,N_recovered,ReffMean,ReffStd,ReffTheoretical,N_traced
0.05,0.0,13418.616,9865.158,1.3509434806582599,0.0043312562132550156,1.3622142569123614,0.0
0.05,0.02,13473.186,9886.116,1.355906427810069,0.003750250455253814,1.3607701577965834,25.87
0.05,0.04,13289.398,9830.912,1.341926595288761,0.004184112285652147,1.357969875121403,51.502
0.05,0.06,13250.752,9828.782,1.3378343832544108,0.004333595512692241,1.3550434431336178,78.192
0.05,0.08,13328.35,9888.184,1.3410303819850145,0.0037983924106389563,1.3530061325686715,105.286
0.05,0.1,13299.718,9867.746,1.3403012291936343,0.00377749712595482,1.352031719100506,131.302
0.05,0.12000000000000001,13338.552,9924.152,1.3392996349856963,0.003540439726832435,1.349007676939217,158.608
0.05,0.14,13193.856,9810.906,1.3335124689646152,0.004491009930995546,1.346503307402183,185.292
0.05,0.16,13114.504,9793.042,1.3270460435728986,0.0045655246518453065,1.34565350000013,209.31
0.05,0.18,13272.926,9923.56,1.33227672758831,0.0036182175756956513,1.3448696700616671,238.7
0.05,0.19999999999999998,13067.796,9809.458,1.319883348409841,0.004719744567777101,1.339623428850052,263.11
0.05,0.21999999999999997,13145.07,9869.366,1.324976981781556,0.0036872191514817354,1.3382207964250101,292.382
0.05,0.23999999999999996,13175.806,9903.402,1.3241435791537421,0.0037195440167141014,1.3371852396709947,322.888
0.05,0.25999999999999995,13103.074,9847.504,1.321801595475582,0.003995764641674452,1.3332411045478303,345.616
0.05,0.27999999999999997,12875.538,9736.364,1.3072609696946753,0.004920925178005562,1.3331357054095714,370.202
0.05,0.3,13102.422,9924.838,1.3163586816462658,0.0030112027196993064,1.3281120313584214,408.652
0.05,0.32,12814.08,9756.098,1.3007935935516328,0.004409617047309754,1.3265688208742978,426.092
0.05,0.34,12871.914,9828.488,1.2999858150547694,0.004079808238730225,1.3273317705110386,460.28
0.05,0.36000000000000004,12907.504,9847.606,1.3017449931297709,0.00399352351849257,1.3211371577406452,489.504
0.05,0.38000000000000006,12848.592,9826.876,1.2962408498931393,0.004583829193608137,1.3184489628470326,516.042
0.05,0.4000000000000001,12644.304,9712.922,1.2836613321693093,0.005389488474372755,1.3195554909041853,537.768
0.05,0.4200000000000001,12757.706,9828.254,1.2877494233019595,0.00424102039520325,1.3169306762825552,575.01
0.05,0.4400000000000001,12692.838,9771.22,1.2853176694361368,0.004718054727183845,1.3122284322849544,600.224
0.05,0.46000000000000013,12761.358,9868.466,1.2863364761021472,0.003533294679199793,1.3088204323715937,635.786
0.05,0.48000000000000015,12625.452,9771.192,1.2787011706851277,0.004640426035957714,1.307117929956272,662.752
0.05,0.5000000000000001,12564.284,9751.616,1.2743956535485683,0.004668030540888292,1.306257038131668,685.846
0.05,0.5200000000000001,12512.46,9770.884,1.2671941210909157,0.0046331767102100645,1.301600843853825,717.81
0.05,0.5400000000000001,12622.904,9832.056,1.2753280449103033,0.0038207111861311904,1.2990558023074303,749.012
0.05,0.5600000000000002,12428.03,9714.128,1.263112132744219,0.004987623468448432,1.2979720082635773,771.18
0.05,0.5800000000000002,12312.42,9693.01,1.2528674959991204,0.005066595869102394,1.2949026991309902,798.938
0.05,0.6000000000000002,12238.358,9657.978,1.2487544186007076,0.005134477451061548,1.2898292707404875,823.368
0.05,0.6200000000000002,12418.354,9789.7,1.2569004182173873,0.004357016079156614,1.2937560212515196,864.496
0.05,0.6400000000000002,12247.322,9699.368,1.247611412404377,0.004690399548847919,1.2878337563968605,889.982
0.05,0.6600000000000003,12161.928,9644.818,1.2432818408191793,0.004879075313686823,1.2846389127661055,915.064
0.05,0.6800000000000003,12216.306,9695.87,1.2442567698311218,0.004673153623276655,1.2838642066748882,948.998
0.05,0.7000000000000003,12237.276,9753.954,1.242996310787193,0.0039631052051378995,1.280523620690415,983.68
0.05,0.7200000000000003,12144.562,9699.636,1.237994777428748,0.004278024878604818,1.27662652026014,1016.406
0.05,0.7400000000000003,12260.094,9830.436,1.2383918959360556,0.0038073768154574315,1.2751003418881626,1062.246
0.05,0.7600000000000003,11945.512,9601.306,1.2244396240284248,0.005013314319063974,1.2717865113869407,1068.74
0.05,0.7800000000000004,12036.702,9676.858,1.2265961640450924,0.004965435036188435,1.2688098597888324,1108.63
0.05,0.8000000000000004,11842.442,9564.076,1.216939323520308,0.005146181406001958,1.2652164460480715,1126.196
0.05,0.8200000000000004,11792.254,9544.216,1.212843415280429,0.005321939851934901,1.2652332393739663,1151.74
0.05,0.8400000000000004,11856.684,9621.152,1.2149678079783863,0.0046060402067450296,1.2617529349138972,1201.338
0.05,0.8600000000000004,11772.69,9610.234,1.2075169277593916,0.004783518721802327,1.2590858927748405,1230.744
0.05,0.8800000000000004,11577.35,9455.84,1.200212859172993,0.0051769391610661806,1.2548900789037754,1245.032
0.05,0.9000000000000005,11643.136,9522.358,1.198920893892144,0.0054063826071516045,1.2529925790495748,1282.916
0.05,0.9200000000000005,11448.762,9398.832,1.191043064729683,0.005486809935319986,1.2517231875806243,1300.904
0.05,0.9400000000000005,11650.37,9585.352,1.1974178027755324,0.004558430618864026,1.24688021878078,1356.182
0.05,0.9600000000000005,11360.27,9381.02,1.1841749502130665,0.005347212200747816,1.2426088593309736,1363.882
0.05,0.9800000000000005,11594.472,9597.696,1.1897592933957053,0.0048128316922498695,1.242124379102895,1429.794
0.05,1.0000000000000004,11504.98,9576.272,1.185493913437256,0.004104649897018624,1.2386759298156735,1462.808
