
False negative test rate,Tracing efficiency,N_infected_done,N_recovered,ReffMean,ReffStd,ReffTheoretical,N_traced
0.15,0.0,13460.046,9903.642,1.3526017060561968,0.003851183110364233,1.3631693930818676,0.0
0.15,0.02,13544.978,9961.638,1.3572710291162764,0.002956734407610402,1.3605061500519584,29.576
0.15,0.04,13405.314,9865.672,1.3502232594241772,0.004099966225779671,1.357303987650247,59.51
0.15,0.06,13337.032,9865.916,1.3427289846866968,0.004321958446750928,1.351843223424517,89.034
0.15,0.08,13384.602,9923.53,1.3443706893225138,0.003252735590089286,1.353057563480863,120.174
0.15,0.1,13368.308,9923.084,1.3421556763608065,0.0035056868362500094,1.3507559250081937,150.904
0.15,0.12000000000000001,13208.928,9827.148,1.3335501409449864,0.0043140868939287,1.3474084364622854,179.036
0.15,0.14,13105.1,9790.532,1.3257255287060257,0.004653220862687881,1.3455759395603337,211.91
0.15,0.16,13136.012,9827.892,1.3262502654031358,0.004204546557648276,1.34130416550135,242.28
0.15,0.18,13021.152,9772.288,1.3195033574930415,0.004542507755187927,1.3379764602272028,271.686
0.15,0.19999999999999998,12960.564,9750.832,1.3120737297338139,0.005464437789898391,1.3380868856796244,301.136
0.15,0.21999999999999997,12999.706,9789.76,1.3142524445109967,0.004974987644751927,1.3337660027386713,333.056
0.15,0.23999999999999996,13127.366,9905.2,1.3201663638922172,0.00332202830268909,1.3310643257620431,369.506
0.15,0.25999999999999995,13004.968,9848.224,1.3118445349968535,0.004020305770092832,1.329404302268306,399.458
0.15,0.27999999999999997,12723.806,9675.518,1.2955980349865905,0.005437349294339688,1.325372337289413,423.822
0.15,0.3,12871.546,9788.068,1.301938158866514,0.004667583104358296,1.3233994638719035,457.058
0.15,0.32,12798.002,9770.624,1.2960355469200966,0.004777175017493398,1.3245272531300367,489.956
0.15,0.34,12779.456,9773.89,1.2953071485597445,0.00434824259404387,1.3191547782354576,519.822
0.15,0.36000000000000004,12710.446,9732.502,1.289927221406587,0.005040898719288452,1.3172310230148048,551.462
0.15,0.38000000000000006,12648.39,9732.648,1.2843704956819937,0.004740041947595169,1.3117593146989046,584.784
0.15,0.4000000000000001,12786.442,9850.632,1.2901155434588665,0.0038305385526797137,1.3126736323170851,623.694
0.15,0.4200000000000001,12688.826,9808.69,1.2818085439579925,0.004655773432315594,1.3105867558456534,653.51
0.15,0.4400000000000001,12557.47,9734.88,1.2761986426034437,0.004418673931487136,1.3077061218127417,683.97
0.15,0.46000000000000013,12860.136,9962.15,1.2890918492341463,0.002650712274106985,1.3027139093135383,730.74
0.15,0.48000000000000015,12567.626,9791.02,1.2716756552924926,0.004402985213034637,1.3017589196734418,754.468
0.15,0.5000000000000001,12584.852,9808.312,1.2722086754166555,0.004262969163906653,1.2962757135891325,785.84
0.15,0.5200000000000001,12332.778,9644.516,1.2613568286597185,0.0047771853141902985,1.2955119906113977,811.83
0.15,0.5400000000000001,12286.198,9656.328,1.2528159009571826,0.005391127920643088,1.2926858479434968,841.266
0.15,0.5600000000000002,12268.478,9674.504,1.250753844436734,0.004923069840048291,1.2907019355039577,878.46
0.15,0.5800000000000002,12198.91,9665.394,1.2455263006502675,0.00490638949542476,1.28436432149909,914.348
0.15,0.6000000000000002,12219.802,9700.914,1.2449326883009537,0.004493619609600883,1.280533379038998,949.612
0.15,0.6200000000000002,11980.584,9526.824,1.2342523850567662,0.005402844547406568,1.2783653312999033,968.728
0.15,0.6400000000000002,12206.846,9720.372,1.2417465053439005,0.004531470663833486,1.2767389094500141,1018.908
0.15,0.6600000000000003,12242.24,9794.522,1.2406942963288048,0.0037761973468671793,1.2716434817770073,1070.396
0.15,0.6800000000000003,11685.73,9415.244,1.21240776909813,0.005793150946612948,1.2658888977698786,1058.556
0.15,0.7000000000000003,11993.114,9639.328,1.2256568074568421,0.005003662032251927,1.2699987216000346,1117.114
0.15,0.7200000000000003,11656.56,9425.34,1.2081639426608106,0.0059387602412519355,1.2695613006081345,1130.418
0.15,0.7400000000000003,11791.674,9547.44,1.214081485255719,0.005050240271296909,1.2615203472318839,1184.046
0.15,0.7600000000000003,11960.936,9700.59,1.2206249000163385,0.003925415661275238,1.2609206976306584,1238.176
0.15,0.7800000000000004,11796.498,9626.206,1.2090988149323676,0.004431429257500914,1.2583064801891093,1264.994
0.15,0.8000000000000004,11632.888,9524.436,1.2012705589929191,0.004920961866722231,1.2504763600802897,1285.782
0.15,0.8200000000000004,11356.526,9309.25,1.187900413475994,0.006025548946320708,1.247382428556286,1286.848
0.15,0.8400000000000004,11417.814,9398.934,1.188964663663211,0.005238512354762395,1.2442128699246433,1342.438
0.15,0.8600000000000004,11426.722,9430.24,1.1882206298934286,0.005111890403865034,1.240398953764628,1384.784
0.15,0.8800000000000004,11209.78,9281.074,1.1789196715498567,0.005440516207092097,1.2367892876680997,1400.134
0.15,0.9000000000000005,11263.114,9331.728,1.17936416260133,0.005364211701792488,1.2349078695217344,1444.514
0.15,0.9200000000000005,11369.208,9454.876,1.1795407385468335,0.005009488007084342,1.2337798279256555,1501.486
0.15,0.9400000000000005,11201.804,9362.716,1.171186609942482,0.005125297923310886,1.2292252679899764,1520.312
0.15,0.9600000000000005,11271.01,9465.558,1.1704337282266732,0.0045459586921572405,1.2250432556864874,1577.13
0.15,0.9800000000000005,10865.576,9144.396,1.1536922468049449,0.00592562314548745,1.2214607188135642,1561.76
0.15,1.0000000000000004,10912.126,9211.292,1.1541054418640573,0.0054297696939930576,1.2172489720915465,1607.21
