
False negative test rate,Tracing efficiency,N_infected_done,N_recovered,ReffMean,ReffStd,ReffTheoretical,N_traced
0.15,0.0,13441.078,9884.412,1.3518744934896374,0.004094997486194924,1.3607674347592686,0.0
0.15,0.02,13283.414,9790.35,1.3437934815738481,0.004716419691075393,1.3589424388605436,18.552
0.15,0.04,13331.634,9845.414,1.3434563507044623,0.004576941924658273,1.3596514058527707,37.208
0.15,0.06,13373.558,9884.314,1.345446290528718,0.003966432443365085,1.3581512154674054,56.832
0.15,0.08,13335.93,9847.848,1.3445337512632816,0.004328875078688576,1.3563802882804141,74.786
0.15,0.1,13310.552,9847.514,1.3422964330625726,0.004193060197237359,1.3553018888616257,93.876
0.15,0.12000000000000001,13202.996,9770.964,1.3368438800607925,0.004911667728434047,1.3541917225544688,114.002
0.15,0.14,13324.296,9865.84,1.3425549803013892,0.00393995633229772,1.3506319085631118,132.236
0.15,0.16,13351.274,9886.564,1.3438504078036564,0.003690919982084631,1.3514044997722847,151.898
0.15,0.18,13188.108,9807.62,1.3324807793140918,0.004651752876872289,1.3481637294689206,169.696
0.15,0.19999999999999998,13263.644,9888.66,1.3348494662747088,0.003712974801556563,1.3470942569870896,192.332
0.15,0.21999999999999997,13203.174,9868.506,1.3306765796472046,0.0037680721395618043,1.3484221131293819,209.75
0.15,0.23999999999999996,13280.93,9903.298,1.334498858152714,0.0037742673367167794,1.3451406975158342,232.222
0.15,0.25999999999999995,13125.802,9846.436,1.323547590700959,0.004216539920872599,1.341413499170402,248.956
0.15,0.27999999999999997,13059.634,9789.296,1.3212144018008087,0.004723926419971885,1.3407493166949866,268.116
0.15,0.3,13099.536,9844.976,1.3191831181997007,0.004804757168865376,1.3438044582542297,289.806
0.15,0.32,13053.604,9811.418,1.3192510722471533,0.0044952333375665315,1.3396604353462958,307.674
0.15,0.34,13046.092,9847.682,1.315367871724435,0.0042118003955792065,1.3378133954233489,329.244
0.15,0.36000000000000004,12938.328,9769.978,1.310295623408326,0.004806437732285943,1.3370995141922308,347.022
0.15,0.38000000000000006,12863.77,9716.304,1.307746557723444,0.004936198302824805,1.3356208856546932,364.462
0.15,0.4000000000000001,12859.058,9753.37,1.3048251115277023,0.004571085884300981,1.33332679987122,385.972
0.15,0.4200000000000001,13064.504,9884.868,1.3147975058698989,0.0037117444452331155,1.3345617350740047,412.236
0.15,0.4400000000000001,12941.98,9808.116,1.3074099781202393,0.0047290954308909176,1.3342401324612319,428.118
0.15,0.46000000000000013,12967.042,9866.994,1.306829413652308,0.0036689066955007637,1.33025319748784,453.676
0.15,0.48000000000000015,12936.818,9849.688,1.305406024982561,0.003816820467192071,1.3298750660490855,471.432
0.15,0.5000000000000001,12821.696,9750.554,1.2997038611253735,0.004995431337789233,1.327095161853176,488.902
0.15,0.5200000000000001,12796.676,9770.774,1.2967059161222996,0.004466872201328815,1.3248143762664617,513.172
0.15,0.5400000000000001,12887.592,9847.884,1.2996799193069841,0.004143555317563072,1.3231505740734597,533.282
0.15,0.5600000000000002,12756.608,9790.892,1.2916809455632252,0.004184672486693496,1.3212862225099669,552.188
0.15,0.5800000000000002,12774.25,9830.896,1.2902578464688481,0.003969755693201001,1.3206725104002668,575.86
0.15,0.6000000000000002,12731.644,9808.228,1.287268639191275,0.0041519622864912556,1.3195375050956988,597.416
0.15,0.6200000000000002,12796.194,9866.436,1.288643844951872,0.004022897996800576,1.317799597027927,619.452
0.15,0.6400000000000002,12652.132,9733.008,1.2843591956725364,0.004892066635473802,1.3149286545054737,635.954
0.15,0.6600000000000003,12750.954,9850.72,1.2868228796865493,0.003613140701011296,1.3171725705009298,662.394
0.15,0.6800000000000003,12689.848,9828.884,1.2819784238345893,0.003884241560066187,1.3138932198853437,685.236
0.15,0.7000000000000003,12463.856,9658.426,1.2718228752477205,0.005163132081526928,1.3133694327313943,693.106
0.15,0.7200000000000003,12535.848,9772.978,1.2712083259813267,0.00417711584478796,1.3111104064551182,722.642
0.15,0.7400000000000003,12358.304,9619.952,1.263069978930001,0.0056010653146366446,1.306538829401533,735.64
0.15,0.7600000000000003,12475.398,9699.414,1.270850262723246,0.0046733042480301586,1.3075198155813106,757.722
0.15,0.7800000000000004,12522.99,9769.054,1.2678207196370306,0.0048306932184431235,1.304337765024851,788.382
0.15,0.8000000000000004,12327.808,9640.308,1.2600592905312529,0.005117863104251899,1.3015165877926282,798.256
0.15,0.8200000000000004,12483.014,9773.882,1.2646812861963999,0.004560390599197896,1.301638322174806,834.33
0.15,0.8400000000000004,12385.526,9735.204,1.259139899050978,0.004293574941605946,1.3014827114732852,852.374
0.15,0.8600000000000004,12414.598,9771.172,1.2580365978702568,0.004479312243614502,1.2983223423640553,875.296
0.15,0.8800000000000004,12400.58,9771.966,1.2571389156574253,0.004224550639950596,1.2989992116449642,903.928
0.15,0.9000000000000005,12405.808,9770.224,1.256933079680566,0.004479100766921587,1.2944843619669348,925.488
0.15,0.9200000000000005,12329.226,9752.014,1.2507491827848158,0.004470810411558808,1.2945266991081092,948.12
0.15,0.9400000000000005,12092.846,9618.984,1.2379734050843385,0.004947039252756666,1.289970827021984,954.656
0.15,0.9600000000000005,12197.708,9696.772,1.2430551786057402,0.004456248604833941,1.286933770903043,986.02
0.15,0.9800000000000005,12207.682,9715.452,1.2419665539301612,0.004496365282125568,1.2899751368085082,1007.504
0.15,1.0000000000000004,12217.86,9777.35,1.238645283109178,0.004160748668338211,1.2875644916681364,1043.6
