
False negative test rate,Tracing efficiency,N_infected_done,N_recovered,ReffMean,ReffStd,ReffTheoretical,N_traced
0.15,0.0,13390.428,9848.946,1.350649342471988,0.004144835812765287,1.3606310424017645,0.0
0.15,0.02,13523.672,9923.314,1.35799877198219,0.0034670578293642578,1.3609026662306862,2.014
0.15,0.04,13501.072,9886.144,1.3585316145481552,0.003947063596784808,1.362208369374958,3.912
0.15,0.06,13383.402,9827.988,1.3510983967404997,0.004317943616911297,1.3611688241194344,5.806
0.15,0.08,13462.308,9884.672,1.354446953179648,0.003990537923259437,1.3615745740711072,7.88
0.15,0.1,13424.822,9903.618,1.349241267918065,0.003690917820751404,1.3608030000612457,9.688
0.15,0.12000000000000001,13496.376,9905.344,1.3564274409939208,0.003789312302008512,1.358712508792464,11.67
0.15,0.14,13445.306,9884.384,1.3526491805500231,0.004032614840510377,1.3604702070639274,13.968
0.15,0.16,13504.726,9903.316,1.356248525561706,0.004176775800913543,1.3591102695418404,15.552
0.15,0.18,13459.262,9904.206,1.3530886386569827,0.0036103396296073786,1.3607869250868567,17.548
0.15,0.19999999999999998,13370.154,9827.87,1.3494780714341321,0.004471249208398202,1.3583430344270289,18.872
0.15,0.21999999999999997,13558.376,9942.826,1.3601506125356124,0.0031266515969663846,1.3608374623776391,21.006
0.15,0.23999999999999996,13362.414,9847.172,1.3473968054995773,0.004227842065253746,1.3602788779969224,23.768
0.15,0.25999999999999995,13331.358,9789.342,1.3477041092703035,0.005066394136139804,1.3593858859273111,24.85
0.15,0.27999999999999997,13348.9,9846.086,1.3445197976776049,0.004756610581695496,1.3571696789881593,27.432
0.15,0.3,13415.714,9904.742,1.348741593180413,0.0035814711319491184,1.3592371773222542,29.126
0.15,0.32,13406.636,9888.972,1.3494249731488857,0.0036294092983973954,1.3591429159361281,30.622
0.15,0.34,13421.59,9903.398,1.3483307178469122,0.0040111005476662735,1.3615108411788683,32.786
0.15,0.36000000000000004,13512.37,9961.056,1.3536275403508773,0.003112955973585098,1.3582598724825625,36.192
0.15,0.38000000000000006,13429.964,9922.414,1.3480104872841028,0.0037105426579375424,1.3588613029880752,36.41
0.15,0.4000000000000001,13385.26,9848.766,1.3489269100718884,0.004542360475705344,1.356009055395809,38.112
0.15,0.4200000000000001,13473.228,9922.318,1.3520630648667216,0.0038044747717848825,1.3576752639876761,40.348
0.15,0.4400000000000001,13513.134,9922.762,1.3567483136507588,0.003587570033991813,1.36009526910382,42.468
0.15,0.46000000000000013,13437.288,9923.13,1.3483636366629435,0.0038000689762976575,1.3586233722433247,44.274
0.15,0.48000000000000015,13343.824,9866.148,1.3431252659263955,0.004395266969433417,1.357879470789144,46.81
0.15,0.5000000000000001,13312.74,9812.804,1.3457855048740819,0.004410259600544087,1.3544296524388082,48.074
0.15,0.5200000000000001,13369.992,9826.792,1.3488251315690198,0.004760360615701672,1.3586735676454087,50.108
0.15,0.5400000000000001,13364.07,9846.126,1.3470414175717222,0.004509070882488374,1.359959428174615,51.154
0.15,0.5600000000000002,13383.538,9845.042,1.3484015408989334,0.004688671847616065,1.3567105178087009,53.934
0.15,0.5800000000000002,13480.296,9961.92,1.3509231311470034,0.002801189206360752,1.3562367744918566,56.288
0.15,0.6000000000000002,13383.724,9885.122,1.346784100612173,0.003841980651547565,1.3590135553340095,56.806
0.15,0.6200000000000002,13445.12,9922.996,1.3499886299719157,0.003522708746107433,1.3557060211303913,59.878
0.15,0.6400000000000002,13539.936,9981.446,1.3555923748271095,0.00257139434425321,1.3589746436752275,62.854
0.15,0.6600000000000003,13319.748,9828.332,1.3450568034740633,0.004184000890107713,1.359484155252159,63.12
0.15,0.6800000000000003,13413.472,9903.324,1.347551388321696,0.003984599337117304,1.3581239400244363,66.534
0.15,0.7000000000000003,13426.13,9905.432,1.3496260090445065,0.003584245710977403,1.355065960677245,66.326
0.15,0.7200000000000003,13354.406,9884.106,1.343020568174315,0.004205938227970692,1.355835492144566,68.874
0.15,0.7400000000000003,13298.662,9828.14,1.3429816902073877,0.004191528759961309,1.3572226510756131,71.776
0.15,0.7600000000000003,13420.858,9903.232,1.3483628512774626,0.004009387713466119,1.3558744700528906,73.154
0.15,0.7800000000000004,13312.766,9865.362,1.3405708046650446,0.004234686421193743,1.3563160264177678,76.056
0.15,0.8000000000000004,13294.546,9846.582,1.3405701834399602,0.004219154427396669,1.3558427018665034,77.934
0.15,0.8200000000000004,13481.174,9941.692,1.351665255892308,0.003507675775850162,1.3558216726492436,79.244
0.15,0.8400000000000004,13284.37,9845.352,1.3383978215761319,0.0046540503042879185,1.3560796352304565,82.044
0.15,0.8600000000000004,13259.168,9810.376,1.3401015980387772,0.004505774981077614,1.3523010003888247,81.936
0.15,0.8800000000000004,13390.98,9884.3,1.3469973082983184,0.004059183196407561,1.3548362862587688,85.238
0.15,0.9000000000000005,13390.786,9885.15,1.346980701861486,0.004056537285150561,1.355185553708987,84.84
0.15,0.9200000000000005,13284.766,9827.386,1.340666231378384,0.004554363767050575,1.3585117487825644,87.374
0.15,0.9400000000000005,13356.696,9885.262,1.344026498259731,0.0037666147942879884,1.3573060824713983,90.48
0.15,0.9600000000000005,13453.362,9942.384,1.3488568681263708,0.0035305950753808137,1.3545948701236121,93.622
0.15,0.9800000000000005,13356.054,9885.152,1.3431912254777423,0.004166015793402749,1.353502536833139,92.972
0.15,1.0000000000000004,13327.258,9884.638,1.3410006934035001,0.003855353481851087,1.3541776747499559,95.924
