
False negative test rate,Tracing efficiency,N_infected_done,N_recovered,ReffMean,ReffStd,ReffTheoretical,N_traced
0.05,0.0,13450.114,9845.996,1.3553715736079304,0.004614436313579134,1.3611582491600578,0.0
0.05,0.02,13487.618,9906.772,1.3561756603205029,0.00344127852694551,1.360521992429746,21.198
0.05,0.04,13326.748,9850.494,1.3446955128677363,0.003869606281937976,1.358184200568046,41.724
0.05,0.06,13343.98,9884.186,1.3422996868129682,0.004104422697417135,1.357959589889074,63.264
0.05,0.08,13401.154,9904.108,1.3473348741154698,0.0035662140509202574,1.3536669534298835,84.756
0.05,0.1,13322.494,9849.038,1.3441363976865595,0.00391927344584208,1.3529883656364317,106.06
0.05,0.12000000000000001,13381.548,9924.858,1.3441067918244305,0.0032425442425186085,1.3511523994076151,128.642
0.05,0.14,13211.13,9789.25,1.335792518708724,0.0049447049025826235,1.3501906472225282,146.98
0.05,0.16,13125.816,9749.224,1.329127133200858,0.005504971142481549,1.3513837547881304,167.104
0.05,0.18,13243.234,9866.418,1.3337617406755489,0.0041746656645606384,1.3479309022481403,192.788
0.05,0.19999999999999998,13289.136,9904.32,1.335541064277063,0.003653070610798824,1.3458150316869784,214.524
0.05,0.21999999999999997,13149.45,9848.26,1.3261769229183087,0.004042375830719243,1.3431951723465465,236.06
0.05,0.23999999999999996,13178.886,9885.454,1.326181873537319,0.0037614253192529644,1.34162572104212,258.368
0.05,0.25999999999999995,13124.982,9864.364,1.3211394524617583,0.004327020084804462,1.3406104771884064,280.864
0.05,0.27999999999999997,13160.196,9885.008,1.3241118129339369,0.0038479981793702557,1.3395999901759437,302.462
0.05,0.3,13126.658,9867.236,1.3223733159098017,0.003882441148321599,1.3354876536498685,325.386
0.05,0.32,13072.442,9884.358,1.3149676503796142,0.003927126821439435,1.3373039615683886,348.658
0.05,0.34,13169.008,9925.218,1.322537119949892,0.0032086981174953622,1.3338280993297162,370.886
0.05,0.36000000000000004,12877.544,9750.248,1.30563384619985,0.004884457986527647,1.3322587657669638,388.94
0.05,0.38000000000000006,12976.522,9844.866,1.307583188132326,0.004412203488284181,1.3305822678808938,415.562
0.05,0.4000000000000001,12822.118,9719.864,1.3034134102046921,0.004865139872174231,1.3317960975791672,431.508
0.05,0.4200000000000001,12927.272,9866.838,1.3026519448795004,0.0038298815651159495,1.3289379119400921,462.842
0.05,0.4400000000000001,12881.968,9827.536,1.3009130532181759,0.004102206522191032,1.32643980785199,481.824
0.05,0.46000000000000013,12846.77,9830.678,1.29756421802469,0.004016202841742213,1.3260647738095748,508.906
0.05,0.48000000000000015,12810.508,9811.254,1.2957782183567235,0.003998609028889837,1.3244424331266031,528.856
0.05,0.5000000000000001,12810.93,9827.082,1.2932214198166594,0.004259888546119681,1.3207803866293164,554.046
0.05,0.5200000000000001,12743.848,9807.166,1.2866349700536293,0.004803707245336512,1.3221680599582741,575.922
0.05,0.5400000000000001,12725.384,9795.362,1.289053434921781,0.003891421666101911,1.3170537307830235,598.528
0.05,0.5600000000000002,12755.55,9833.47,1.2891600421589136,0.0036571349948448673,1.3160771552985113,623.176
0.05,0.5800000000000002,12586.854,9732.466,1.2781658248697598,0.00481529458410277,1.313741268312631,644.596
0.05,0.6000000000000002,12510.762,9680.328,1.2752783931610943,0.004930934126801909,1.3118570590544687,660.66
0.05,0.6200000000000002,12599.564,9772.606,1.2768951938455078,0.004369811070961194,1.3123893588675577,692.542
0.05,0.6400000000000002,12523.342,9749.528,1.2692333392648585,0.004967002540850336,1.3101170540010463,715.096
0.05,0.6600000000000003,12593.016,9809.43,1.2727384140944318,0.004289543927344191,1.307608102094191,745.834
0.05,0.6800000000000003,12518.352,9758.06,1.2711153621427698,0.004226826211756284,1.3072742259332322,761.562
0.05,0.7000000000000003,12303.366,9617.558,1.2560423324894725,0.005875722920325183,1.3063217908986733,777.948
0.05,0.7200000000000003,12489.528,9790.792,1.264637025830245,0.004204668109225939,1.3040299841521512,818.024
0.05,0.7400000000000003,12365.868,9716.014,1.2574542609750516,0.004776127969548992,1.3001681131517013,835.766
0.05,0.7600000000000003,12310.608,9661.468,1.257080775921657,0.0048687975159372905,1.2972871257170837,856.484
0.05,0.7800000000000004,12156.706,9591.972,1.247891668051415,0.004974790151531671,1.2945173766272342,877.866
0.05,0.8000000000000004,12292.58,9694.18,1.2510950268239047,0.004935187543492925,1.29430604754532,907.606
0.05,0.8200000000000004,12337.852,9778.09,1.2508264976409575,0.0040704012584790224,1.291176001554626,946.074
0.05,0.8400000000000004,12215.072,9697.34,1.2436636942145272,0.004769364842141073,1.2909390623613868,963.596
0.05,0.8600000000000004,12084.512,9591.078,1.2408008669473023,0.004867260780829492,1.2875439729009415,972.918
0.05,0.8800000000000004,12243.58,9737.422,1.2452759709907841,0.004096657893452798,1.2871830845972836,1017.586
0.05,0.9000000000000005,12213.264,9752.662,1.2404256434035565,0.004145776338985968,1.2833775942430858,1043.572
0.05,0.9200000000000005,12304.988,9834.504,1.2440428409552613,0.003351814211404018,1.2810230226989854,1080.036
0.05,0.9400000000000005,12008.142,9624.644,1.2308000882687542,0.004558915476309755,1.2823098507875794,1084.434
0.05,0.9600000000000005,12186.006,9771.33,1.2353741493042145,0.004161988438483749,1.2800399147983181,1126.984
0.05,0.9800000000000005,12227.916,9850.866,1.233907999207738,0.003522423474494131,1.2763578091983159,1166.916
0.05,1.0000000000000004,12100.86,9734.554,1.2298032789751137,0.004329237292462501,1.275836558513297,1177.594
