
False negative test rate,Tracing efficiency,N_infected_done,N_recovered,ReffMean,ReffStd,ReffTheoretical,N_traced,propTracedMean,propTracedStd,theoreticalMean_NoTracingTerm,theoreticalMean_TracingTerm
0.0,0.0,13420.594,9846.376,1.3530516154055148,0.0043283704435800935,1.3617915712625452,0.0,0.0,0.0,0.6382084287374548,0.0
0.02,0.0,13571.338,9888.962,1.3663529966924344,0.0035292118466727592,1.372376960264877,0.0,0.0,0.0,0.6276230397351229,0.0
0.04,0.0,13751.57,9922.456,1.3801204205625413,0.003803228666083042,1.3871975303550435,0.0,0.0,0.0,0.6128024696449567,0.0
0.06,0.0,13880.102,9923.94,1.3932002651081388,0.003834359502980977,1.3990662150395408,0.0,0.0,0.0,0.6009337849604591,0.0
0.08,0.0,14051.574,9941.332,1.4083205715592948,0.0037706606162992906,1.4135928043950694,0.0,0.0,0.0,0.5864071956049306,0.0
0.1,0.0,14106.042,9883.756,1.4182661114923396,0.004428505162112861,1.4234745124724495,0.0,0.0,0.0,0.5765254875275504,0.0
0.12000000000000001,0.0,14371.074,9980.564,1.4383617801418438,0.0028431807297944855,1.4379464011846355,0.0,0.0,0.0,0.5620535988153647,0.0
0.14,0.0,14397.598,9922.078,1.444408503505294,0.004219997413588249,1.4510857622258626,0.0,0.0,0.0,0.5489142377741374,0.0
0.16,0.0,14609.596,9980.518,1.4621555992277993,0.003059574720826369,1.4631275809075532,0.0,0.0,0.0,0.5368724190924468,0.0
0.18,0.0,14714.096,9961.384,1.4737637939177102,0.003496716092699224,1.475117859710645,0.0,0.0,0.0,0.5248821402893551,0.0
0.19999999999999998,0.0,14884.84,10000.0,1.488484,0.002437383080387882,1.4888020216791644,0.0,0.0,0.0,0.5111979783208356,0.0
0.21999999999999997,0.0,14963.924,9961.224,1.4989901242236023,0.0036127871450609065,1.499775651769399,0.0,0.0,0.0,0.500224348230601,0.0
0.23999999999999996,0.0,15153.822,10000.0,1.5153822000000003,0.00262701005898722,1.5161783782900848,0.0,0.0,0.0,0.4838216217099151,0.0
