
False negative test rate,Tracing efficiency,N_infected_done,N_recovered,ReffMean,ReffStd,ReffTheoretical,N_traced
0.05,0.0,13414.446,9847.522,1.3518702855725913,0.004528083063172071,1.3817450161488354,0.0
0.05,0.02,13238.156,9788.124,1.3383821250784,0.0050089078494205954,1.3709164817387882,100.134
0.05,0.04,13195.668,9866.914,1.3286888197308866,0.004214469997412405,1.3596313839009433,201.818
0.05,0.06,13011.22,9789.822,1.3163908977447056,0.004666522586662453,1.3484326023117188,298.486
0.05,0.08,12906.756,9828.652,1.3036455303673564,0.004059156020195146,1.3392301833968883,401.738
0.05,0.1,12652.786,9695.738,1.287064367839231,0.005303158625503817,1.32432724336424,495.154
0.05,0.12000000000000001,12638.536,9773.68,1.280669840794444,0.004437915656623949,1.3136369693067973,600.624
0.05,0.14,12453.672,9721.478,1.2658686255643279,0.004907395487768997,1.3038168874695353,698.37
0.05,0.16,12253.298,9662.432,1.2507373404148734,0.004963041806248894,1.293098606803511,791.984
0.05,0.18,12072.318,9565.436,1.2403431100791555,0.005328961526574062,1.2841529023491678,883.974
0.05,0.19999999999999998,11789.83,9439.582,1.2230183512819608,0.005483871818278022,1.2643198440249521,970.832
0.05,0.21999999999999997,11553.916,9359.626,1.2037453509526408,0.006050609596179621,1.2586754073798943,1061.05
0.05,0.23999999999999996,11373.388,9309.648,1.1930578204736821,0.005511144133090925,1.2479924934194833,1152.182
0.05,0.25999999999999995,11425.01,9404.51,1.1859994575305377,0.0059405200805702435,1.233552253896887,1263.29
0.05,0.27999999999999997,10857.246,9036.96,1.1639337284205202,0.0059138153807149875,1.2210310274173337,1309.89
0.05,0.3,10890.756,9195.538,1.1528447209285355,0.005626173214468828,1.208547397879843,1435.21
0.05,0.32,10501.614,8942.062,1.1355748179154386,0.005879095085077441,1.2014525400252718,1482.534
0.05,0.34,10151.21,8716.968,1.1198098490889727,0.006084429318834744,1.1852401472994913,1541.696
0.05,0.36000000000000004,9563.026,8283.52,1.0926121092719523,0.006930944345051309,1.1750426669215643,1547.346
0.05,0.38000000000000006,9166.05,8047.29,1.0773798158909003,0.006520304577273594,1.1602497992886,1594.77
0.05,0.4000000000000001,8715.256,7711.616,1.0586676833279982,0.006984359816067617,1.1426167841601997,1611.672
0.05,0.4200000000000001,8439.508,7582.444,1.0466977372530568,0.006408703617806122,1.1374984783272828,1667.802
0.05,0.4400000000000001,8136.482,7389.084,1.0308361303801696,0.006464840350640814,1.1216211519645551,1700.186
0.05,0.46000000000000013,7537.858,6910.006,1.0121451432646147,0.006500130239862699,1.111930954587444,1668.596
0.05,0.48000000000000015,7024.226,6523.148,0.9954684432628691,0.006215897177047254,1.0942699045753095,1638.6
0.05,0.5000000000000001,6598.898,6182.778,0.9859109677231709,0.006021010028764277,1.079640778352711,1617.082
0.05,0.5200000000000001,6206.618,5846.018,0.9722799917125182,0.0063737800209476845,1.0725861143271624,1589.53
0.05,0.5400000000000001,5306.512,5084.194,0.9444489217923874,0.0063254646075704135,1.0496811853844825,1441.07
0.05,0.5600000000000002,5331.826,5132.902,0.9476629969281245,0.005957509107534354,1.0465300403398077,1512.446
0.05,0.5800000000000002,4366.094,4268.22,0.9340699744995133,0.005188398149822183,1.0247736467455684,1299.926
0.05,0.6000000000000002,3966.898,3916.486,0.9164231205212952,0.005706287795055001,1.0120729563657664,1230.708
0.05,0.6200000000000002,3777.9,3753.636,0.9057031868238684,0.005820687356194536,0.9946327962337387,1217.298
0.05,0.6400000000000002,3043.254,3071.128,0.8984617322017919,0.005175072270777554,0.9859092360211666,1025.336
0.05,0.6600000000000003,2420.874,2480.658,0.8844047516124759,0.005129128429925882,0.9738430949711596,848.058
0.05,0.6800000000000003,2260.29,2328.552,0.8798551408030701,0.005191376574341144,0.9590507508023921,819.814
0.05,0.7000000000000003,1935.516,2018.042,0.8608058650762601,0.005616239205490379,0.9426786626211912,729.056
0.05,0.7200000000000003,1735.03,1826.188,0.8659078319485815,0.0051700945697767085,0.9290057800695248,673.83
0.05,0.7400000000000003,1371.324,1469.52,0.8481204845853528,0.005055392333960025,0.9181501346127141,550.964
0.05,0.7600000000000003,1249.524,1348.084,0.8456581982111273,0.005218233154431284,0.8902636947531755,518.232
0.05,0.7800000000000004,1265.43,1363.7,0.8515933844953274,0.004943530848428081,0.8764414331252703,539.142
0.05,0.8000000000000004,1233.656,1331.794,0.8434017036726599,0.005119711340860426,0.8772249289225538,533.498
0.05,0.8200000000000004,1016.964,1116.964,0.8375093333751428,0.00518436907209848,0.863207512126,454.798
0.05,0.8400000000000004,851.332,951.15,0.819107920974491,0.005247357956773184,0.83877521276756,395.76
0.05,0.8600000000000004,854.65,954.65,0.8163724937460061,0.005419949821603025,0.8141352888211708,403.488
0.05,0.8800000000000004,797.174,897.174,0.8168588113101349,0.005084263252229303,0.809238077897475,385.366
0.05,0.9000000000000005,663.5,763.5,0.7952344652939792,0.005235749655658196,0.7916464827747263,329.562
0.05,0.9200000000000005,616.582,716.582,0.7915051535747407,0.0051266419535698346,0.788408042333426,314.572
0.05,0.9400000000000005,575.432,675.432,0.7791907072645547,0.00545255079617557,0.7659035016649905,303.428
0.05,0.9600000000000005,577.268,677.268,0.7764947470106057,0.005410409795236434,0.778663413828663,311.072
0.05,0.9800000000000005,533.036,633.036,0.7776092142508245,0.005263302394148457,0.7404486346785997,292.884
0.05,1.0000000000000004,515.18,615.18,0.7686885074566928,0.005537235468779761,0.7084682305484922,287.224
