
False negative test rate,Tracing efficiency,N_infected_done,N_recovered,ReffMean,ReffStd,ReffTheoretical,N_traced
0.05,0.0,13363.648,9807.17,1.3497363456347857,0.004849855066076553,1.3623607356583987,0.0
0.05,0.02,13163.3,9715.574,1.3371169523514137,0.005426153638525723,1.3593787041168301,13.206
0.05,0.04,13378.568,9846.188,1.3482201551487392,0.004582671220578569,1.3594396653491811,27.164
0.05,0.06,13414.206,9908.972,1.3491897749292194,0.003207425202278327,1.3585724258604845,40.432
0.05,0.08,13422.876,9923.952,1.3481502833263668,0.003286844014046111,1.3541516844261487,54.482
0.05,0.1,13379.01,9903.766,1.344594962816778,0.003712186490591282,1.3537290111119695,67.96
0.05,0.12000000000000001,13309.86,9845.844,1.341303329070742,0.004524524511558557,1.3542904724399618,80.63
0.05,0.14,13273.868,9844.652,1.336872377783952,0.004824381983388768,1.352576588001245,95.742
0.05,0.16,13186.512,9789.58,1.3337670407133446,0.0047102276626173264,1.35362573601108,108.62
0.05,0.18,13376.702,9962.072,1.3407219944176192,0.0027094628805665235,1.3517815723117366,125.03
0.05,0.19999999999999998,13338.114,9885.19,1.3420914644509938,0.003881381775264681,1.3492693343357356,136.478
0.05,0.21999999999999997,13227.908,9846.504,1.3336777025235576,0.004272566208287944,1.350683556951094,150.298
0.05,0.23999999999999996,13238.002,9826.694,1.3352973900631582,0.0047963153681512645,1.3483792660761789,162.75
0.05,0.25999999999999995,13165.394,9830.906,1.3293975416299504,0.004114694365981961,1.3438506919923543,177.792
0.05,0.27999999999999997,13142.238,9807.616,1.3270366793494508,0.004873660970442449,1.345791592649566,190.28
0.05,0.3,13203.21,9885.142,1.3282228821832456,0.0039294291674943985,1.3445917031102446,204.098
0.05,0.32,13275.918,9944.924,1.3316192219997642,0.00312763906757032,1.343039050316156,219.538
0.05,0.34,13133.908,9866.518,1.3235637732799537,0.003764347017492659,1.3408583636650766,231.636
0.05,0.36000000000000004,13183.82,9867.056,1.3284870397667037,0.00381605362384216,1.3393258206652725,246.866
0.05,0.38000000000000006,13164.354,9886.238,1.3245238432798632,0.0038707140036975084,1.3382989347540861,260.33
0.05,0.4000000000000001,13180.028,9905.004,1.3245534050499173,0.0037745575141576544,1.338147372651669,277.044
0.05,0.4200000000000001,13041.694,9791.258,1.3199296373072933,0.004363240411427547,1.3340845299317028,284.572
0.05,0.4400000000000001,13069.066,9848.022,1.317900755874883,0.004113446216369936,1.3340985046285623,300.302
0.05,0.46000000000000013,13056.202,9846.914,1.316983375203013,0.004003923372082786,1.3328284022248704,314.406
0.05,0.48000000000000015,12965.484,9790.654,1.3124260296036037,0.0044429984870552105,1.3309935711096765,328.93
0.05,0.5000000000000001,13028.932,9868.266,1.3130984633953515,0.00370102409151382,1.329345868751214,342.564
0.05,0.5200000000000001,12921.082,9814.302,1.3069198096546775,0.003981591567373236,1.3297737002776648,355.946
0.05,0.5400000000000001,12879.812,9754.128,1.3073343316457127,0.004488397307201891,1.32687193207797,364.924
0.05,0.5600000000000002,12941.778,9788.706,1.3092338115359277,0.004591410048726084,1.3299933087611762,380.4
0.05,0.5800000000000002,12984.71,9830.238,1.3108186546218545,0.004293126438850946,1.3258055780578417,395.408
0.05,0.6000000000000002,12877.768,9790.318,1.3031543715315186,0.004417096799188108,1.3241591187108457,413.01
0.05,0.6200000000000002,12712.21,9676.792,1.2941121251756906,0.005558278757632393,1.3248417659514022,420.018
0.05,0.6400000000000002,12828.446,9771.292,1.2998667930467667,0.004623361210116473,1.3211192657649484,434.772
0.05,0.6600000000000003,12965.0,9867.946,1.306757977820982,0.0036875029828594592,1.323123454079203,452.762
0.05,0.6800000000000003,12819.846,9790.682,1.2970596786092201,0.00460222030043312,1.3199828661432425,465.084
0.05,0.7000000000000003,12821.578,9809.066,1.2956004477483896,0.004451189683649178,1.3170700589527236,478.64
0.05,0.7200000000000003,12802.864,9829.344,1.2929446477143522,0.004088887359853715,1.3174852966388988,495.848
0.05,0.7400000000000003,12705.336,9740.094,1.2910908918175663,0.004498020717668536,1.315448791749902,502.734
0.05,0.7600000000000003,12789.18,9828.498,1.291205251917493,0.004194012059419406,1.3134455320878256,526.938
0.05,0.7800000000000004,12886.45,9884.924,1.296906358997264,0.0037567410790092857,1.3122454063112319,542.66
0.05,0.8000000000000004,12813.346,9827.07,1.2925522190345382,0.0045838625232534486,1.3155722754344497,543.682
0.05,0.8200000000000004,12726.34,9773.41,1.2896858049997826,0.00448869993948958,1.312204289863728,559.726
0.05,0.8400000000000004,12875.986,9943.644,1.2921821237063735,0.0029053310528567165,1.3106870517038325,582.426
0.05,0.8600000000000004,12715.252,9790.63,1.2870571053850812,0.004360657175427071,1.3075790037403905,587.874
0.05,0.8800000000000004,12654.424,9790.242,1.2809759300496322,0.004318641791393007,1.3055057897588023,605.714
0.05,0.9000000000000005,12710.504,9828.288,1.2835370294630508,0.004107090736792571,1.3067916003277646,620.236
0.05,0.9200000000000005,12637.54,9792.604,1.2794296872691029,0.0043053746058273525,1.3034341306612491,637.326
0.05,0.9400000000000005,12733.902,9867.038,1.282678081850078,0.00395440307716131,1.3018367908687978,657.582
0.05,0.9600000000000005,12540.398,9714.132,1.2753426873382372,0.004855822343159838,1.3016923786837475,654.776
0.05,0.9800000000000005,12478.222,9720.172,1.2698378008248652,0.004441871243938322,1.2986015866546348,666.144
0.05,1.0000000000000004,12395.496,9636.76,1.2642566088634433,0.005781800455434421,1.301497886336494,673.76
