
False negative test rate,Tracing efficiency,N_infected_done,N_recovered,ReffMean,ReffStd,ReffTheoretical,N_traced
0.05,0.0,13492.856,9904.264,1.3561406685346538,0.003761882902511658,1.3592628698566178,0.0
0.05,0.02,13300.796,9789.174,1.344794195035519,0.004971631049504496,1.3603991963731201,23.688
0.05,0.04,13454.042,9905.41,1.3529970716470188,0.0034544640043627528,1.3563563050389038,47.256
0.05,0.06,13211.074,9769.0,1.3365428231584962,0.005296351579211509,1.355422086658345,70.032
0.05,0.08,13279.858,9826.172,1.338748326576434,0.004894304606632628,1.3544776043372704,95.056
0.05,0.1,13338.198,9865.77,1.343475348711346,0.0040161805239054575,1.3524985140331018,119.416
0.05,0.12000000000000001,13349.57,9907.034,1.3425357626138033,0.0033013307108529966,1.3504196518404932,142.014
0.05,0.14,13328.49,9904.622,1.3400681842148159,0.003473902620200784,1.3485335780452679,166.778
0.05,0.16,13290.8,9903.914,1.3360592571865182,0.0036106544573797556,1.3444395670476645,191.228
0.05,0.18,13140.49,9809.598,1.3275909302701219,0.004609901444243112,1.3438167886245223,212.24
0.05,0.19999999999999998,13173.73,9866.258,1.325822358662524,0.004475741846717095,1.3368296072138615,239.964
0.05,0.21999999999999997,13099.902,9826.632,1.3209403361048933,0.004842961925848006,1.336591381379899,261.412
0.05,0.23999999999999996,13004.554,9772.644,1.3173123487211202,0.004739175873758108,1.3349888490483701,286.522
0.05,0.25999999999999995,12978.264,9770.362,1.313820419598443,0.004962565753133451,1.3330886707571636,307.524
0.05,0.27999999999999997,12945.836,9753.346,1.3127412473709221,0.004851116050247361,1.3314921940574789,329.44
0.05,0.3,13027.544,9846.356,1.3135728861177198,0.004215599503449613,1.3320697967141513,356.428
0.05,0.32,12999.202,9826.94,1.311593264601149,0.004526382293035506,1.3294208262083753,379.672
0.05,0.34,12975.502,9847.44,1.3089595990027276,0.00402162543734549,1.324871585623589,407.63
0.05,0.36000000000000004,12748.192,9693.258,1.295811854813961,0.0056015203559729625,1.319999518105653,425.906
0.05,0.38000000000000006,12779.208,9736.918,1.2987576920836492,0.004428111619982387,1.31812479115021,452.45
0.05,0.4000000000000001,12741.474,9714.372,1.2954863135782417,0.0049400896921310495,1.3193408159929578,470.05
0.05,0.4200000000000001,12868.76,9884.446,1.2945238997443569,0.003912403494074357,1.3147544711413803,505.126
0.05,0.4400000000000001,12694.652,9734.274,1.2898685468898976,0.004591451665586314,1.3177732304624128,523.248
0.05,0.46000000000000013,12735.454,9788.798,1.287808717503122,0.0047875111008653165,1.312949365446355,555.138
0.05,0.48000000000000015,12724.662,9791.008,1.2876212579722408,0.004466860623094051,1.307023814254331,577.038
0.05,0.5000000000000001,12681.71,9792.13,1.2841825320334643,0.004174322727116315,1.3051484843385288,598.392
0.05,0.5200000000000001,12529.27,9715.136,1.2742560059857477,0.004781634179635388,1.3047797142190152,620.028
0.05,0.5400000000000001,12597.628,9793.268,1.2749669580752736,0.004314667138048844,1.3021711646126786,653.798
0.05,0.5600000000000002,12667.14,9808.364,1.2810112487961358,0.004131820471808618,1.2998876197207248,669.312
0.05,0.5800000000000002,12595.36,9791.812,1.2746052177484894,0.004356486803577739,1.2997757355249389,694.24
0.05,0.6000000000000002,12532.44,9757.484,1.272294047982016,0.004273527304108799,1.2940128625135598,720.712
0.05,0.6200000000000002,12365.384,9642.686,1.2625410538132555,0.005306305087056783,1.2915263593838546,734.868
0.05,0.6400000000000002,12309.99,9655.392,1.255106611623441,0.005377600834286058,1.290253392333304,763.474
0.05,0.6600000000000003,12445.37,9761.484,1.2645594830974312,0.003823223341865351,1.287954210866318,792.64
0.05,0.6800000000000003,12413.284,9751.88,1.2583444783648872,0.004972631309032866,1.2882295297857953,818.774
0.05,0.7000000000000003,12143.404,9568.142,1.2475926936899724,0.005333629982819462,1.2841076972791885,833.018
0.05,0.7200000000000003,12343.644,9739.462,1.2552305530041397,0.004172581014448402,1.2831258111091128,863.982
0.05,0.7400000000000003,12118.01,9605.466,1.241834465850776,0.0051238360072653096,1.2796190672051082,876.612
0.05,0.7600000000000003,12100.346,9607.804,1.2406324683427001,0.004965335265331318,1.2796284223808525,899.978
0.05,0.7800000000000004,12085.766,9587.042,1.2397370577002134,0.0052950546071740484,1.2743718898251084,925.634
0.05,0.8000000000000004,12231.472,9736.016,1.2437814523927764,0.004187344897157036,1.2696217839663564,969.824
0.05,0.8200000000000004,12079.376,9627.674,1.2373613408693247,0.004692266552216431,1.2721350381195946,980.806
0.05,0.8400000000000004,12144.134,9698.468,1.237291401854628,0.004565199691899469,1.2666216229305292,1016.654
0.05,0.8600000000000004,11908.586,9552.07,1.2252121052644533,0.005224928329511756,1.2640518668116278,1016.91
0.05,0.8800000000000004,12154.552,9753.494,1.2339010067471,0.0043313185859572565,1.2617387589204752,1070.136
0.05,0.9000000000000005,11825.91,9493.518,1.2215006729504356,0.0054650351524680885,1.264527865932329,1059.984
0.05,0.9200000000000005,11908.522,9592.086,1.2232799654899174,0.0047565488966037454,1.2596896866423792,1101.53
0.05,0.9400000000000005,11879.94,9570.506,1.2205448047439313,0.005148037410130605,1.2553581967499379,1125.0
0.05,0.9600000000000005,11790.368,9506.208,1.2155620274641625,0.005642393197813806,1.253396624781076,1134.42
0.05,0.9800000000000005,11683.202,9499.294,1.208616782591988,0.004916981390809003,1.2515926097140793,1162.404
0.05,1.0000000000000004,11811.744,9598.484,1.2145529104187494,0.004258160101415007,1.245599744489405,1196.138
